id,candidato_id,test_id,evaluador_id,fecha,respuestas_json
4,2,1,,2026-03-06 15:39:56,"[{""pregunta_id"": 1, ""valor"": 4}, {""pregunta_id"": 2, ""valor"": 2}, {""pregunta_id"": 3, ""valor"": 3}]"
6,3,1,,2026-03-10 15:12:19,"[{""pregunta_id"": 1, ""valor"": 3}, {""pregunta_id"": 2, ""valor"": 2}, {""pregunta_id"": 3, ""valor"": 5}, {""pregunta_id"": 4, ""valor"": 2}, {""pregunta_id"": 5, ""valor"": 5}, {""pregunta_id"": 6, ""valor"": 3}, {""pregunta_id"": 7, ""valor"": 5}, {""pregunta_id"": 8, ""valor"": 3}, {""pregunta_id"": 9, ""valor"": 5}, {""pregunta_id"": 10, ""valor"": 3}, {""pregunta_id"": 11, ""valor"": 5}, {""pregunta_id"": 12, ""valor"": 3}]"
7,4,1,,2026-03-12 07:30:01,"[{""pregunta_id"": 1, ""valor"": 4}, {""pregunta_id"": 2, ""valor"": 3}, {""pregunta_id"": 3, ""valor"": 5}, {""pregunta_id"": 4, ""valor"": 4}, {""pregunta_id"": 5, ""valor"": 5}, {""pregunta_id"": 6, ""valor"": 3}, {""pregunta_id"": 7, ""valor"": 5}, {""pregunta_id"": 8, ""valor"": 3}, {""pregunta_id"": 9, ""valor"": 5}, {""pregunta_id"": 10, ""valor"": 4}, {""pregunta_id"": 11, ""valor"": 5}, {""pregunta_id"": 12, ""valor"": 3}]"
8,5,1,,2026-03-12 08:08:40,"[{""pregunta_id"": 1, ""valor"": 3}, {""pregunta_id"": 2, ""valor"": 5}, {""pregunta_id"": 3, ""valor"": 2}, {""pregunta_id"": 4, ""valor"": 5}, {""pregunta_id"": 5, ""valor"": 3}, {""pregunta_id"": 6, ""valor"": 5}, {""pregunta_id"": 7, ""valor"": 3}, {""pregunta_id"": 8, ""valor"": 5}, {""pregunta_id"": 9, ""valor"": 3}, {""pregunta_id"": 10, ""valor"": 5}, {""pregunta_id"": 11, ""valor"": 3}, {""pregunta_id"": 12, ""valor"": 3}, {""pregunta_id"": 13, ""valor"": 2}]"
10,2,2,,2026-03-12 11:23:28,"[{""pregunta_id"": 14, ""valor"": 1}, {""pregunta_id"": 15, ""valor"": 1}, {""pregunta_id"": 16, ""valor"": 1}]"
11,1,2,,2026-03-12 11:34:24,"[{""pregunta_id"": 14, ""valor"": 1}, {""pregunta_id"": 15, ""valor"": 0}, {""pregunta_id"": 16, ""valor"": 1}]"
12,1,1,,2026-03-12 12:00:13,"[{""pregunta_id"": 1, ""valor"": 4}, {""pregunta_id"": 2, ""valor"": 5}, {""pregunta_id"": 3, ""valor"": 4}, {""pregunta_id"": 4, ""valor"": 5}, {""pregunta_id"": 5, ""valor"": 3}, {""pregunta_id"": 6, ""valor"": 5}, {""pregunta_id"": 7, ""valor"": 3}, {""pregunta_id"": 8, ""valor"": 4}, {""pregunta_id"": 9, ""valor"": 5}, {""pregunta_id"": 10, ""valor"": 5}, {""pregunta_id"": 11, ""valor"": 5}, {""pregunta_id"": 12, ""valor"": 3}, {""pregunta_id"": 13, ""valor"": 2}]"
13,1,2,,2026-03-12 14:00:46,"[{""pregunta_id"": 14, ""valor"": 0}, {""pregunta_id"": 15, ""valor"": 0}, {""pregunta_id"": 16, ""valor"": 0}]"
14,1,2,,2026-03-12 14:44:54,"[{""pregunta_id"": 14, ""valor"": 0}, {""pregunta_id"": 15, ""valor"": 0}, {""pregunta_id"": 16, ""valor"": 0}]"
15,6,1,,2026-03-12 15:00:51,"[{""pregunta_id"": 1, ""valor"": 4}, {""pregunta_id"": 2, ""valor"": 3}, {""pregunta_id"": 3, ""valor"": 4}, {""pregunta_id"": 4, ""valor"": 3}, {""pregunta_id"": 5, ""valor"": 5}, {""pregunta_id"": 6, ""valor"": 3}, {""pregunta_id"": 7, ""valor"": 5}, {""pregunta_id"": 8, ""valor"": 3}, {""pregunta_id"": 9, ""valor"": 5}, {""pregunta_id"": 10, ""valor"": 3}, {""pregunta_id"": 11, ""valor"": 5}, {""pregunta_id"": 12, ""valor"": 3}, {""pregunta_id"": 13, ""valor"": 2}]"
16,6,2,,2026-03-12 15:35:32,"[{""pregunta_id"": 14, ""valor"": 1}, {""pregunta_id"": 15, ""valor"": 0}, {""pregunta_id"": 16, ""valor"": 1}]"
